name,type,latitude,longitude,address,businessStatus,estbDate,facilityId,welfacilityId
소안초등학교,67 - 초등학교,0,0,경기도 부천시 소사동로72번길 29,영업,20050507,20155894749,4119011000-1-04090009
소화초등학교,67 - 초등학교,37.27820749,127.0528005,경기도 수원시 영통구 광교중앙로 30,영업,20001222,20155894756,4111710200-2-00490001
신백현(대장)초등학교,67 - 초등학교,37.38757937,127.1117509,경기도 성남시 분당구 판교역로14번길 42,영업,20090429,20155894823,4113511000-1-05590000
수원중촌초등학교,67 - 초등학교,37.27255378,126.9445494,경기도 수원시 권선구 금곡로140번길 30,영업,20110222,20155894922,4111313400-1-10940000
매원초등학교,67 - 초등학교,37.27438801,127.0637213,경기도 수원시 영통구 광교호수공원로 100,영업,20110322,20155895002,4111710200-1-05950000
광교호수초등학교,67 - 초등학교,37.2796927,127.058864,경기도 수원시 영통구 광교호수공원로 205(원천동),영업,20161226,20155895003,4111710200-1-05890001
성남중부초등학교,67 - 초등학교,37.45154694,127.1649507,경기도 성남시 중원구 자혜로 55,영업,19980411,20155895124,4113310400-1-19320007
상도초등학교,67 - 초등학교,0,0,경기도 부천시 장말로 149,영업,20170427,20155895253,4119010900-1-04180000
판교(석운)초등학교,67 - 초등학교,37.38728227,127.0914433,경기도 성남시 분당구 판교원로 231,영업,20090429,20155895293,4113510800-1-06360000
하서초등학교,67 - 초등학교,0,0,전북특별자치도 부안군 서당로 99,영업,19980411,20155751536,4580040021-1-05980001
부안동초등학교,67 - 초등학교,35.71639463,126.7383324,전북특별자치도 부안군 석정로 313,영업,20050329,20155751542,4580025024-1-04460000
백룡초등학교,67 - 초등학교,35.71883494,126.8100597,전북특별자치도 부안군 시기길 15,영업,19980411,20155751543,4580038022-1-00740002
나포초,67 - 초등학교,36.0304495,126.8336366,전북특별자치도 군산시 나포면 교동1길 23,영업,20020831,20155751548,4513038023-1-02610000
전하초등학교,67 - 초등학교,35.51544889,129.4278327,울산광역시 동구 바드래길 55,영업,20161007,20155751635,3117010400-1-05490005
부안남초등학교,67 - 초등학교,35.70209371,126.7343654,전북특별자치도 부안군 연곡로 7,영업,20030919,20155751757,4580025028-1-03980004
하귀일초등학교,67 - 초등학교,33.48390197,126.4151797,제주특별자치도 제주시 애월읍 하귀9길 42,영업,20210113,20155751928,5011025340-1-01580001
도학초등학교,67 - 초등학교,35.62856696,126.8188542,전북특별자치도 정읍시 동학로 635,영업,20041221,20155751941,4518036021-1-02430001
태인초등학교,67 - 초등학교,35.985565,126.8504673,전북특별자치도 정읍시 동헌길 16,영업,20101227,20155751943,4518039024-1-04290000
다솜학교,68 - 특수학교,35.54878202,126.8333204,전북특별자치도 정읍시 정읍남로 1146,영업,20090529,20155753060,4518010900-1-04080005
목포인성학교,68 - 특수학교,34.82786614,126.425414,전라남도 목포시 영산로692번길 12-7,영업,20210602,20155755783,4611016000-1-04820000
덕수학교,68 - 특수학교,0,0,전라남도 강진군 성전면 예향로 181-13,영업,20190516,20155753607,4681036023-1-00400002
명화학교,68 - 특수학교,35.96603685,126.6899055,전북특별자치도 군산시 상나운1길 37,영업,20211022,20155754019,4513014400-1-08010000
전주유화학교,68 - 특수학교,0,0,전북특별자치도 전주시 덕진구 모내래6길 26-16,영업,20210226,20155756838,4511310400-1-00260007
이랑학교,68 - 특수학교,0,0,전북특별자치도 진안군 진안군 부귀면 잠동길 80,영업,20181030,20155760240,4572038023-1-00390001
광양햇살학교,68 - 특수학교,35.0095528,127.6185888,전라남도 광양시 옥룡면 옥동길 14,영업,20220414,20155760553,4.62303E+18
특수학교,68 - 특수학교,35.66679579,129.34066,울산광역시 북구 갓안1길 15,영업,20020903,20155761044,3120010600-1-04570002
인천서희학교,68 - 특수학교,37.58411296,126.6832702,인천광역시 서구 독정로 44-4,영업,20181121,20155761685,2826011400-1-07790004
인천광명원,68 - 특수학교,37.47944565,126.709122,인천광역시 부평구 경인로769번길 27,영업,20140727,20155767518,2823710200-1-05760000
아산성심학교,68 - 특수학교,36.77689032,126.8631494,충청남도 아산시 선장면 아산만로 368,영업,20110511,20155762188,4420039021-1-01910002
제1구역(특수학교),68 - 특수학교,35.65805224,129.4195025,울산광역시 북구 대안4길 60,영업,20050607,20155762392,3120011500-1-01570000
당진꿈나래학교 주차장,68 - 특수학교,36.81215222,126.7623242,충청남도 당진시 합덕읍 면천로 1590,영업,20191129,20155762660,4427025021-1-09790000
온성학교,68 - 특수학교,33.29104917,126.5930174,제주특별자치도 서귀포시 516로 447-10,영업,20050718,20155764038,5013010700-1-12910002
울산혜인학교,68 - 특수학교,35.5742064,129.3368057,울산광역시 중구 북부순환도로 777,영업,20050831,20155772918,3111011700-1-05270000
순천선혜학교,68 - 특수학교,34.96509585,127.5190101,전라남도 순천시 비봉길 100,영업,20180921,20155771023,4615013300-1-08450000
은광학교,68 - 특수학교,34.75713985,126.479089,전라남도 영암군 삼호읍 신호정길 43-17,영업,20030826,20155768598,4683025325-1-04420004
국립서울농학교,68 - 특수학교,37.58564486,126.968775,서울특별시 종로구 필운대로 103,영업,20070706,20155771583,1111010200-1-00010001
서울맹학교,68 - 특수학교,0,0,서울특별시 종로구 필운대로 97,영업,20060911,20155771809,1111010200-1-00010004
소림학교,68 - 특수학교,34.73911588,126.4600952,전라남도 영암군 삼호읍 저두길 65-7,영업,20170711,20155769265,4683025327-1-00850001
뱅크빌딩(한국장애인고용공단 전북),70 - 한국장애인고용공단 및 지사,35.84667841,127.1507448,전북특별자치도 전주시 덕진구 백제대로 751,영업,20200910,20155759759,4511310400-1-15730001
송학동 97-118 업무시설 (한국국토정보공사 익산지사),70 - 한국장애인고용공단 및 지사,0,0,전북특별자치도 익산시 고현로 1,영업,20180516,20155769464,4514011600-1-00970118
보령고용센터,70 - 한국장애인고용공단 및 지사,36.34238911,126.5997717,충청남도 보령시 보령남로 28,영업,20060911,20155769601,4418010500-1-04980006
예산세무서,70 - 한국장애인고용공단 및 지사,0,0,충청남도 예산군 오가면 윤봉길로 1814,영업,19980411,20155781214,4481040024-1-03270005
